Contact Id,Gift Date
304,9/27/2019
2822,4/28/2016
1544,3/7/2022
414,12/31/2014
3021,5/6/2019
5,7/1/2016
820,12/29/2010
2393,12/18/2017
450,11/2/2011
788,2/22/2010
884,8/10/2011
2378,5/18/2016
56,10/28/2016
935,7/20/2017
2805,12/28/2011
2843,9/4/2014
4,8/9/2016
293,11/3/2011
2802,3/16/2012
2380,10/17/2013
2987,11/16/2017
1337,12/29/2016
299,6/27/2016
935,4/27/2018
3047,6/10/2021
473,5/31/2011
2839,7/12/2011
602,6/25/2018
3032,5/17/2016
429,8/20/2015
304,10/26/2018
519,3/15/2014
1900,1/3/2017
479,12/30/2013
2868,5/21/2015
2775,4/15/2015
1964,12/31/2014
407,12/18/2019
419,6/14/2011
3047,3/7/2022
282,4/25/2013
935,8/24/2016
473,4/7/2010
442,1/5/2010
834,9/9/2013
2824,5/12/2011
415,11/2/2012
815,12/14/2018
304,12/28/2015
429,10/26/2015
1329,12/31/2014
650,1/7/2019
415,12/15/2017
499,5/17/2012
500,12/28/2015
2998,5/6/2019
360,12/7/2018
477,6/7/2012
3007,3/8/2017
2812,2/11/2015
429,4/9/2012
340,12/2/2011
429,8/3/2014
935,10/26/2017
867,12/17/2014
427,12/18/2019
468,12/10/2019
426,12/21/2017
26,3/28/2016
725,10/4/2016
304,11/29/2016
304,12/22/2015
420,6/18/2019
600,3/13/2013
851,2/16/2013
2816,12/6/2018
843,11/20/2012
2810,11/26/2018
492,7/31/2011
459,3/9/2010
935,3/28/2019
1544,3/22/2021
406,1/4/2010
434,3/10/2017
305,7/4/2011
1195,3/22/2022
1514,3/5/2010
326,12/28/2012
3047,2/22/2021
473,5/21/2015
304,7/22/2016
1337,9/10/2014
868,5/30/2013
500,12/31/2014
1544,8/8/2021
1544,4/18/2022
455,12/30/2013
333,5/17/2011
456,12/12/2011
1787,7/31/2017
477,6/9/2011
1787,7/9/2018
375,12/15/2014
935,1/18/2018
479,1/2/2020
518,12/18/2014
935,2/22/2017
409,11/28/2016
1544,10/18/2021
569,7/20/2018
304,6/17/2013
2401,2/13/2015
304,12/22/2016
1667,12/27/2019
849,8/30/2011
21,12/17/2015
14,8/31/2015
840,1/5/2020
367,10/23/2017
845,12/22/2019
1544,6/24/2022
857,12/29/2011
492,8/22/2011
509,6/1/2011
24,3/4/2016
3032,5/19/2020
